X;Z;Interestingness;
130;5;0.0990099;
130;10;0.0990099;
130;15;0.0990099;
130;20;0.0990099;
130;25;0.1237624;
130;30;0.1237624;
130;35;0.1237624;
130;40;0.0990099;
130;45;0.1237624;
130;50;0.1237624;
130;55;0.1237624;
130;60;0.1485149;
130;65;0.1237624;
130;70;0.1485149;
130;75;0.1237624;
130;80;0.1237624;
130;165;0.0990099;
130;195;0.1237624;
135;0;0.0990099;
135;5;0.0990099;
135;10;0.1237624;
135;15;0.1237624;
135;20;0.1237624;
135;25;0.0990099;
135;30;0.0990099;
135;35;0.0990099;
135;40;0.0990099;
135;45;0.1485149;
135;50;0.1237624;
135;55;0.1485149;
135;60;0.1485149;
135;65;0.1485149;
135;70;0.1237624;
135;75;0.1237624;
135;80;0.1237624;
135;155;0.1485149;
135;160;0.1237624;
135;165;0.0990099;
140;0;0.0990099;
140;5;0.1237624;
140;10;0.1237624;
140;15;0.1237624;
140;20;0.0990099;
140;25;0.1237624;
140;30;0.0990099;
140;35;0.0990099;
140;40;0.0990099;
140;45;0.0990099;
140;50;0.1485149;
140;55;0.1485149;
140;60;0.1485149;
140;65;0.1237624;
140;70;0.1485149;
140;75;0.1237624;
140;80;0.1237624;
140;155;0.1485149;
140;160;0.1237624;
140;165;0.0990099;
145;0;0.1237624;
145;5;0.0990099;
145;10;0.1237624;
145;15;0.1237624;
145;20;0.1237624;
145;25;0.0990099;
145;30;0.0990099;
145;35;0.0990099;
145;40;0.0990099;
145;45;0.1237624;
145;50;0.1237624;
145;55;0.1485149;
145;60;0.1485149;
145;65;0.1485149;
145;70;0.1237624;
145;75;0.1237624;
145;80;0.1237624;
145;85;0.1237624;
145;160;0.1237624;
145;165;0.0990099;
150;0;0.1237624;
150;5;0.0990099;
150;10;0.1237624;
150;15;0.0990099;
150;20;0.1237624;
150;25;0.0990099;
150;30;0.0990099;
150;35;0.0990099;
150;40;0.0990099;
150;45;0.1237624;
150;50;0.1237624;
150;55;0.1485149;
150;60;0.1485149;
150;65;0.1485149;
150;70;0.1237624;
150;75;0.1237624;
150;80;0.1237624;
150;85;0.1237624;
150;160;0.1237624;
150;165;0.0990099;
155;0;0.1237624;
155;5;0.0990099;
155;10;0.1237624;
155;15;0.0990099;
155;20;0.1237624;
155;25;0.0990099;
155;30;0.0990099;
155;35;0.0990099;
155;40;0.0990099;
155;45;0.1237624;
155;50;0.1237624;
155;55;0.1485149;
155;60;0.1485149;
155;65;0.1485149;
155;70;0.1237624;
155;75;0.1237624;
155;80;0.1237624;
155;85;0.1237624;
155;165;0.1237624;
160;0;0.1237624;
160;5;0.0990099;
160;10;0.1237624;
