Coord;Interestingness
(27.1, 3.3, 165.0);9.086992E-05
(28.1, 3.3, 165.0);9.053919E-05
(29.1, 3.3, 164.9);9.021085E-05
(30.1, 3.3, 164.9);8.988488E-05
(31.1, 3.3, 164.9);8.956127E-05
(32.1, 3.4, 164.9);8.923997E-05
(33.1, 3.4, 164.8);8.892097E-05
(34.1, 3.4, 164.8);8.860424E-05
(35.1, 3.4, 164.8);8.828977E-05
(36.1, 3.4, 164.7);8.797751E-05
(37.1, 3.4, 164.7);8.766745E-05
(38.1, 3.4, 164.7);8.735958E-05
(39.1, 3.4, 164.6);8.705386E-05
(40.1, 3.5, 164.6);8.675027E-05
(41.1, 3.5, 164.6);8.644879E-05
(42.1, 3.5, 164.5);8.61494E-05
(43.1, 3.5, 164.5);8.585208E-05
(44.1, 3.5, 164.5);8.55568E-05
(45.1, 3.5, 164.4);8.526354E-05
(46.1, 3.5, 164.4);8.497229E-05
(47.1, 3.5, 164.4);8.468303E-05
(48.1, 3.6, 164.3);8.439572E-05
(49.1, 3.6, 164.3);8.411036E-05
(50.1, 3.6, 164.3);8.382692E-05
(51.1, 3.6, 164.3);8.354538E-05
(52.1, 3.6, 164.2);8.326574E-05
(53.1, 3.6, 164.2);8.298795E-05
(54.1, 3.6, 164.2);8.271202E-05
(55.1, 3.6, 164.1);8.243791E-05
(56.1, 3.6, 164.1);8.216561E-05
(57.1, 3.7, 164.1);8.18951E-05
(58.1, 3.7, 164.0);8.162638E-05
(59.1, 3.7, 164.0);8.13594E-05
(60.1, 3.7, 164.0);8.109417E-05
(61.1, 3.7, 163.9);8.083066E-05
(62.1, 3.7, 163.9);8.056887E-05
(63.1, 3.7, 163.9);8.030876E-05
(64.1, 3.7, 163.8);8.005033E-05
(65.1, 3.8, 163.8);7.979354E-05
(66.1, 3.8, 163.8);7.953841E-05
(67.1, 3.8, 163.7);7.92849E-05
(68.1, 3.8, 163.7);7.9033E-05
(69.1, 3.8, 163.7);7.87827E-05
(70.1, 3.8, 163.6);7.853397E-05
(71.1, 3.8, 163.6);7.828682E-05
(72.1, 3.8, 163.6);7.804122E-05
(73.1, 3.9, 163.6);7.779714E-05
(74.1, 3.9, 163.5);7.755459E-05
(75.1, 3.9, 163.5);7.731355E-05
(76.1, 3.9, 163.5);7.707401E-05
(77.1, 3.9, 163.4);7.683594E-05
(78.1, 3.9, 163.4);7.659934E-05
(79.1, 3.9, 163.4);7.636419E-05
(80.1, 3.9, 163.3);7.613048E-05
(81.1, 4.0, 163.3);7.58982E-05
(82.1, 4.0, 163.3);7.566733E-05
(83.1, 4.0, 163.2);7.543786E-05
(84.1, 4.0, 163.2);7.520978E-05
(85.1, 4.0, 163.2);7.498308E-05
(86.1, 4.0, 163.1);7.475773E-05
(87.1, 4.0, 163.1);7.453374E-05
(88.1, 4.0, 163.1);7.431109E-05
(89.1, 4.1, 163.0);7.408975E-05
(90.1, 4.1, 163.0);7.386974E-05
(91.1, 4.1, 163.0);7.365103E-05
(92.1, 4.1, 163.0);7.343361E-05
(93.1, 4.1, 162.9);7.321747E-05
(92.1, 3.9, 163.2);7.30026E-05
(91.2, 3.9, 163.5);7.278899E-05
(90.2, 3.9, 163.8);7.257661E-05
(89.3, 3.9, 164.1);7.236548E-05
(88.3, 3.8, 164.4);7.215558E-05
(87.4, 3.8, 164.7);7.194688E-05
(86.4, 3.8, 164.9);7.173939E-05
(85.4, 3.7, 165.2);7.15331E-05
(84.5, 3.7, 165.5);7.132798E-05
(83.5, 3.7, 165.8);7.112404E-05
(82.6, 3.7, 166.1);7.092127E-05
(81.6, 3.6, 166.4);7.071965E-05
(80.7, 3.6, 166.7);7.051916E-05
(79.7, 3.6, 167.0);7.031982E-05
(78.7, 3.6, 167.3);7.012159E-05
(77.8, 3.5, 167.5);6.992448E-05
(76.8, 3.5, 167.8);6.972847E-05
(75.9, 3.5, 168.1);6.953357E-05
(74.9, 3.4, 168.4);6.933975E-05
(74.0, 3.4, 168.7);6.9147E-05
(73.0, 3.4, 169.0);6.895532E-05
(72.0, 3.4, 169.3);6.876471E-05
(71.1, 3.3, 169.6);6.857514E-05
(70.1, 3.3, 169.9);6.838662E-05
(69.2, 3.3, 170.2);6.819913E-05
(68.2, 3.3, 170.4);6.801267E-05
(67.3, 3.2, 170.7);6.782722E-05
(66.3, 3.2, 171.0);6.764278E-05
(65.3, 3.2, 171.3);6.745934E-05
(64.4, 3.1, 171.6);6.727689E-05
(63.4, 3.1, 171.9);6.709544E-05
(62.5, 3.1, 172.2);6.691494E-05
(61.5, 3.1, 172.5);6.673543E-05
(60.6, 3.0, 172.8);6.655687E-05
(59.6, 3.0, 173.0);6.637927E-05
(58.6, 3.0, 173.3);6.620261E-05
(57.7, 3.0, 173.6);6.602689E-05
(56.7, 2.9, 173.9);6.58521E-05
(55.8, 2.9, 174.2);6.567824E-05
(54.8, 2.9, 174.5);6.550529E-05
(53.9, 2.9, 174.8);6.533324E-05
(52.9, 2.8, 175.1);6.51621E-05
(52.0, 2.8, 175.4);6.499185E-05
(51.0, 2.8, 175.6);6.48225E-05
(50.0, 2.7, 175.9);6.465401E-05
(49.1, 2.7, 176.2);6.44864E-05
(48.1, 2.7, 176.5);6.431967E-05
(47.2, 2.7, 176.8);6.415378E-05
(46.2, 2.6, 177.1);6.398876E-05
(45.3, 2.6, 177.4);6.382458E-05
(44.3, 2.6, 177.7);6.366125E-05
(43.3, 2.6, 178.0);6.349874E-05
(42.4, 2.5, 178.2);6.333707E-05
(41.4, 2.5, 178.5);6.317621E-05
(40.5, 2.5, 178.8);6.301617E-05
(39.5, 2.4, 179.1);6.285693E-05
(38.6, 2.4, 179.4);6.269851E-05
(37.6, 2.4, 179.7);6.254087E-05
(36.6, 2.4, 180.0);6.238402E-05
(35.7, 2.3, 180.3);6.222797E-05
(34.7, 2.3, 180.6);6.207269E-05
(33.8, 2.3, 180.9);6.191819E-05
(32.8, 2.3, 181.1);6.176445E-05
(31.9, 2.2, 181.4);6.161147E-05
(30.9, 2.2, 181.7);6.145925E-05
(29.9, 2.2, 182.0);6.130778E-05
(29.0, 2.1, 182.3);6.115705E-05
(28.0, 2.1, 182.6);6.100706E-05
(27.1, 2.1, 182.9);6.085781E-05
(26.1, 2.1, 183.2);6.070929E-05
(25.2, 2.0, 183.5);6.056149E-05
(24.2, 2.0, 183.7);6.04144E-05
(23.2, 2.0, 184.0);6.026803E-05
(22.3, 2.0, 184.3);6.012237E-05
(21.3, 1.9, 184.6);5.997741E-05
(20.4, 1.9, 184.9);5.983315E-05
(19.4, 1.9, 185.2);5.968957E-05
(18.5, 1.9, 185.5);5.954669E-05
(17.5, 1.8, 185.8);5.940449E-05
(16.5, 1.8, 186.1);5.926297E-05
(15.6, 1.8, 186.3);5.912212E-05
(14.6, 1.7, 186.6);5.898193E-05
(13.7, 1.7, 186.9);5.884241E-05
(12.7, 1.7, 187.2);5.870355E-05
(11.8, 1.7, 187.5);5.856534E-05
(10.8, 1.6, 187.8);5.842778E-05
(9.8, 1.6, 188.1);5.829087E-05
